nombreImagen:tEjecucionSeam:tEjecucionRun:tEtotal:memoriaSeamCarvingNeta:memoriaRunLenthNeta:memoriaCompresion
cow-animal-review-flickr-nicolas-vigier,csv:172,57475686073303:2,815011978149414:175,38976883888245:70,66015625:0,0625:70,72265625
cow-appreciation-day-1,csv:334,96089577674866:3,8176708221435547:338,7785665988922:117,609375:12,00390625:129,61328125
cow-appreciation-day,csv:109,30064678192139:2,200500965118408:111,5011477470398:54,37109375:0,84375:55,21484375
cow-calf-08,csv:10,500871658325195:0,7213013172149658:11,222172975540161:6,98828125:0,0:6,98828125
cow-calf-29,csv:17,948238134384155:0,8646731376647949:18,81291127204895:10,1640625:0,0:10,1640625
cow-calf-cattle-stock-51311,csv:10,472684383392334:0,782235860824585:11,254920244216919:8,63671875:0,0:8,63671875
Cow-Calf_Pair_Red,csv:18,760199785232544:0,855719804763794:19,615919589996338:9,6171875:0,0:9,6171875
cow-dairy-cows-on-pasture-field-e1607585804504-825x522 (1),csv:23,34654188156128:0,9111809730529785:24,257722854614258:12,859375:0,0:12,859375
cow-dairy-cows-on-pasture-field-e1607585804504-825x522,csv:23,196892261505127:0,9333369731903076:24,130229234695435:11,77734375:0,0:11,77734375
cow-feature,csv:335,91254448890686:3,9349122047424316:339,8474566936493:92,38671875:27,671875:120,05859375
cow-field-one-health-uc-davis (1),csv:33,443803548812866:1,0368893146514893:34,480692863464355:14,109375:0,0:14,109375
cow-field-one-health-uc-davis,csv:33,32770752906799:1,0437633991241455:34,37147092819214:23,1796875:0,0:23,1796875
cow-field-wide-angle-flickr-saturn-h,csv:10,48253870010376:0,6684861183166504:11,15102481842041:5,3515625:0,0:5,3515625
cow-grazing-green-meadow_268835-3015,csv:10,609640836715698:0,7011158466339111:11,31075668334961:5,64453125:0,0:5,64453125
Cow-Health-Welfare,csv:8,282999992370605:0,6929099559783936:8,975909948348999:5,734375:0,0:5,734375
cow-Holstein-Friesian,csv:45,28276586532593:1,2227020263671875:46,505467891693115:17,703125:0,0:17,703125
cow-jokes-and-puns,csv:57,9031867980957:1,339081048965454:59,24226784706116:20,5703125:0,0:20,5703125
cow-jokes-funny-cow-puns-2,csv:9,832442998886108:0,6708676815032959:10,503310680389404:5,1640625:0,0:5,1640625
Cow-meadow-windmill-grass (1),csv:305,7346818447113:3,5247292518615723:309,2594110965729:88,20703125:3,5:91,70703125
Cow-meadow-windmill-grass,csv:305,7725203037262:3,5359699726104736:309,30849027633667:108,98046875:1,1953125:110,17578125
cow-methane-earth-day-660,csv:12,914909362792969:0,7565526962280273:13,671462059020996:7,5625:0,0:7,5625
cow-min,csv:6,692627429962158:0,6078681945800781:7,300495624542236:4,015625:0,0:4,015625
cow-mood-human-neckstretching-october-2020,csv:70,54027271270752:1,6183404922485352:72,15861320495605:37,44140625:0,0:37,44140625
cow-names,csv:44,90742492675781:1,146934986114502:46,054359912872314:15,765625:0,0:15,765625
cow-running-race-pixabay,csv:10,225063800811768:0,7091445922851562:10,934208393096924:5,34375:0,0:5,34375
cow-the-life-nourisher,csv:38,64581775665283:1,2606980800628662:39,9065158367157:20,9296875:0,0:20,9296875
cow-tinder-app,csv:412,82809114456177:4,219825267791748:417,0479164123535:119,05078125:0,0:119,05078125
Cow-Urine-Health-Benefits-How-To-Drink,csv:21,83306312561035:0,9985401630401611:22,831603288650513:12,35546875:0,0:12,35546875
cow-with-big-tongue,csv:47,68364095687866:1,323218822479248:49,00685977935791:26,48828125:0,0:26,48828125
Cow-with-calf-on-grass,csv:10,224597215652466:0,7550716400146484:10,979668855667114:7,8125:0,0:7,8125
cow,csv:6,79959774017334:0,6437726020812988:7,443370342254639:4,59765625:0,0:4,59765625
cow11,csv:12,988461971282959:0,8271291255950928:13,815591096878052:7,921875:0,0:7,921875
cow2-1521548803,csv:10,626169919967651:0,7459309101104736:11,372100830078125:6,96875:0,0:6,96875
cow2,csv:73,3927891254425:1,6169672012329102:75,00975632667542:33,61328125:0,0:33,61328125
cowcalf,csv:100,26068997383118:2,3315768241882324:102,59226679801941:42,59375:0,16796875:42,76171875
cowhero2,csv:68,86165761947632:1,548161268234253:70,40981888771057:39,86328125:0,0625:39,92578125
cowlickhero,csv:68,74638772010803:1,5550837516784668:70,3014714717865:25,44921875:0,0:25,44921875
cows (1),csv:46,25765585899353:1,3238158226013184:47,58147168159485:19,453125:0,0:19,453125
cows (2),csv:120,29206705093384:2,2385993003845215:122,53066635131836:57,64453125:5,37890625:63,0234375
cows-1 (1),csv:200,36287307739258:2,929201602935791:203,29207468032837:79,953125:0,4375:80,390625
cows-1,csv:198,6774196624756:2,9249165058135986:201,60233616828918:82,44921875:0,9453125:83,39453125
cows-1549746_1920,csv:25,515926599502563:1,0172438621520996:26,533170461654663:16,6953125:0,0:16,6953125
cows-160067,csv:69,99133634567261:1,5383398532867432:71,52967619895935:22,890625:0,0:22,890625
cows-18-of-25,csv:11,79049825668335:0,7601430416107178:12,550641298294067:6,0546875:0,0:6,0546875
cows-file-photo-ians-830394,csv:73,26218914985657:1,6313064098358154:74,89349555969238:31,22265625:0,0:31,22265625
cows-heat-pod,csv:4,482443571090698:1,2098562717437744:5,692299842834473:3,4375:0,0:3,4375
Cows-in-a-field (1),csv:10,69044542312622:0,7201814651489258:11,410626888275146:5,140625:0,0:5,140625
Cows-in-a-field (2),csv:10,660051107406616:0,7011208534240723:11,361171960830688:5,26171875:0,0:5,26171875
Cows-in-a-field,csv:10,636393070220947:0,7030177116394043:11,339410781860352:5,01171875:0,0:5,01171875
cows-milk-substitutes,csv:321,670166015625:3,4202516078948975:325,0904176235199:105,18359375:4,0078125:109,19140625
Cows-on-a-Dutch-farm-800x667,csv:27,84210729598999:1,0874888896942139:28,929596185684204:14,47265625:0,0:14,47265625
cows-on-pasture-3237797_1280-compressor,csv:92,11286735534668:1,8889880180358887:94,00185537338257:29,43359375:0,0:29,43359375
Cows-Outside_680px,csv:12,997787475585938:0,7868781089782715:13,784665584564209:7,203125:0,0:7,203125
cows-standing-in-field-portrait-royalty-free-image-1603183203,csv:17,595872402191162:0,9612240791320801:18,557096481323242:10,94921875:0,0:10,94921875
cows,csv:25,41446352005005:0,9743030071258545:26,388766527175903:11,53515625:0,0:11,53515625
cowsa,csv:261,63076424598694:3,0719921588897705:264,7027564048767:70,16015625:0,0:70,16015625
Cowsfield_Mootral,csv:139,08315920829773:2,3255786895751953:141,40873789787292:39,96875:11,52734375:51,49609375
cowsignals_2560px (1),csv:608,1260004043579:5,224100351333618:613,3501007556915:144,765625:12,59375:157,359375
cowsignals_2560px,csv:609,4401068687439:5,111868381500244:614,5519752502441:163,01171875:10,828125:173,83984375
cowsssssss,csv:81,70331239700317:1,803483486175537:83,50679588317871:46,078125:0,0078125:46,0859375
cow_and_calf,csv:409,01968574523926:4,273982286453247:413,2936680316925:118,52734375:12,07421875:130,6015625
cow_cow_cow_3527567a_trans_NvBQzQNjv4BqqVzuuqpFlyLIwiB6NTmJwfSVWeZ_vEN7c6bHu2jJnT8,csv:4,8741374015808105:1,1144332885742188:5,988570690155029:3,69140625:0,0:3,69140625
cow_farts_istock,csv:16,30362367630005:0,8376603126525879:17,141283988952637:9,59375:0,0:9,59375
Cow_health_OG,csv:57,37203860282898:1,336742639541626:58,708781242370605:34,171875:0,0:34,171875
Cow_in_Iceland,csv:596,202023267746:5,538443088531494:601,7404663562775:181,85546875:20,31640625:202,171875
cow_run_5,csv:9,549196004867554:0,7161967754364014:10,265392780303955:5,55078125:0,0:5,55078125
Cow_Vid,csv:290,6125729084015:3,4688427448272705:294,08141565322876:98,93359375:0,0625:98,99609375
crop,csv:4,139557123184204:1,1262831687927246:5,265840291976929:3,16015625:0,0:3,16015625
Cupid-In-Her-Image-dairy,csv:1,5681402683258057:0,9462141990661621:2,5143544673919678:0,03515625:0,0:0,03515625
Curious-Cow-Blog-Feature-Image,csv:14,434262752532959:0,7874760627746582:15,221738815307617:8,58984375:0,0:8,58984375
Curious-Cows,csv:176,31060242652893:2,642813205718994:178,95341563224792:44,984375:0,125:45,109375
dairy-cow-1,csv:48,6816520690918:1,2636125087738037:49,9452645778656:18,30859375:0,0:18,30859375
